id,koff
2bsm_ligand_native_219,0.00564
2uwd_ligand_native_498,0.0021
2vci_ligand_native_497,0.0001
2yki_ligand_17AAG_218_dock1,0.00073
2yki_ligand_native_217,0.00012
4fcq_ligand_15b_221_dock1,0.2
5j20_ligand_native_507,0.00033
5j27_ligand_16_512_dock,0.014
5j27_ligand_23_519_dock,0.0096
5j27_ligand_native_511,0.0064
5j2x_ligand_native_501,0.014
5j64_ligand_31_530_dock,0.11
5j64_ligand_32_531_dock,0.12
5j64_ligand_33_532_dock,0.071
5j64_ligand_native_504,0.21
5j6l_ligand_10_579_dock,0.012
5j6l_ligand_12_581_dock,0.039
5j6l_ligand_17_586_dock,0.0032
5j6l_ligand_9_578_dock,0.0053
5j6l_ligand_native_585,0.0039
5j6m_ligand_11_580_dock,0.0032
5j6m_ligand_13_582_dock,0.0034
5j6m_ligand_15_584_dock,0.0025
5j6m_ligand_18_587_dock,0.0017
5j6m_ligand_19_688_dock,0.003
5j6m_ligand_native_589,0.0026
5j6n_ligand_7_576_dock,0.028
5j6n_ligand_8_577_dock,0.048
5j6n_ligand_native_583,0.0035
5j86_ligand_25_521_dock,0.0011
5j86_ligand_27_523_dock,0.0012
5j86_ligand_28_524_dock,0.0046
5j86_ligand_30_529_dock,0.00034
5j86_ligand_native_508,0.00179
5j8m_ligand_native_575,0.05
5j8u_ligand_3_572_dock,0.13
5j8u_ligand_4_573_dock,0.23
5j8u_ligand_5_574_dock,0.16
5j8u_ligand_native_570,0.29
5j9x_ligand_24_520_dock,0.0047
5j9x_ligand_26_522_dock,0.01
5j9x_ligand_29_528_dock,0.003
5j9x_ligand_34_533_dock,0.0042
5j9x_ligand_native_509,0.0017
5lnz_ligand_native_536,0.00201
5lo5_ligand_native_568,0.429
5lo6_ligand_native_535,0.00139
5lq9_ligand_native_516,0.000136
5lr1_ligand_66_565_dock,0.00127
5lr1_ligand_native_566,0.0256
5lr7_ligand_native_514,0.000189
5lrz_ligand_native_513,0.000278
5ls1_ligand_native_517,0.000485
5nyh_ligand_56_555_dock,0.0132
5nyh_ligand_57_556_dock,0.00091
5nyh_ligand_native_550,0.00243
5nyi_ligand_native_500,0.0001
5oci_ligand_42_541_dock,0.00503
5oci_ligand_44_543_dock1,0.00913
5oci_ligand_45_544_dock,0.000742
5oci_ligand_46_545_dock,0.00237
5oci_ligand_47_546_dock,0.00124
5oci_ligand_48_547_dock,0.000752
5oci_ligand_52_551_dock,0.00137
5oci_ligand_53_552_dock,0.0318
5oci_ligand_54_553_dock,0.0161
5oci_ligand_55_554_dock,0.0077
5oci_ligand_native_542,0.000679
5od7_ligand_native_559,0.000238
5odx_ligand_49_548_dock,0.00138
5odx_ligand_native_549,0.000294
5t21_ligand_native_518,0.000765
6ei5_ligand_58_557_dock,0.554
6ei5_ligand_59_558_dock,0.573
6ei5_ligand_61_560_dock,0.279
6ei5_ligand_63_562_dock,0.00151
6ei5_ligand_64_563_dock,0.552
6ei5_ligand_65_564_dock,0.00454
6ei5_ligand_native_561,0.00453
6el5_ligand_native_567,0.0331
6elo_ligand_native_503,0.0634
6elp_ligand_native_510,0.174
6ey8_ligand_9_505_dock,0.825
6ey8_ligand_native_540,0.232
6ey9_ligand_native_539,0.0174
6eya_ligand_native_534,0.0054
6f1n_ligand_native_502,0.109
